,TCP UL/DL (Bytes),Avg RTT UL/DL (ms),Avg Bearer UL/DL (kbps),clusters
504,32976319.59996406,133.0,115466.0,0
505,48840.0,55.0,42407.0,0
506,21569572.935152996,35.32576582180065,1.0,0
507,21569572.935152996,35.32576582180065,100.0,0
508,44066150.53511706,120.65153164360129,652.0,0
509,220191.0,424.0,1322.0,0
510,21569572.935152996,40.0,465.0,0
511,21844545.935152996,128.0,51877.0,0
512,41394588.935153,95.0,86415.0,0
513,1600978.0,92.0,87733.0,0
514,2245739.0,47.0,62838.0,0
515,21592559.935152996,133.0,5610.0,0
516,43139145.87030599,98.0,168.0,0
517,649592.0,46.0,35206.0,0
518,178891.0,34.0,42672.0,0
519,87864.0,60.0,33526.0,0
520,21569572.935152996,35.32576582180065,97.0,0
521,22338253.27034193,621.0,48052.0,0
522,21569572.935152996,28.0,89.0,0
523,20811208.27034193,173.0,63.0,0
524,1837.0,44.0,10940.0,0
525,21569572.935152996,35.32576582180065,111.0,0
526,21569572.935152996,62.0,96.0,0
527,67937.0,89.0,128760.0,0
528,94341.0,131.0,17667.0,0
529,762526.6648110661,294.0,689.0,0
530,21569572.935152996,35.32576582180065,111.0,0
531,21569572.935152996,39.0,125.0,0
532,13058.0,193.0,1838.0,0
533,48416.0,316.0,6610.0,0
534,21569572.935152996,79.0,80.0,0
535,21569572.935152996,35.32576582180065,141.0,0
536,22521888.935152996,196.32576582180064,20571.0,0
537,21569572.935152996,29.0,148.0,0
538,43180551.87030599,125.0,18047.0,0
539,761398.6648110661,47.0,175.0,0
540,21569572.935152996,81.0,68.0,0
541,21569572.935152996,35.32576582180065,95.0,0
542,21569572.935152996,64.0,75.0,0
543,21569572.935152996,47.0,118.0,0
544,21569572.935152996,30.0,77.0,0
545,43139145.87030599,56.0,199.0,0
546,61547.0,46.0,47432.0,0
547,21569572.935152996,22.0,120.0,0
548,25126653.935152996,90.32576582180064,27198.0,0
549,766308.6648110661,546.0,287.0,0
550,45559.0,59.0,20651.0,0
551,2268883.0,37.0,25261.0,0
552,21569572.935152996,46.0,112.0,0
553,20811208.27034193,62.0,89.0,0
554,26676971.935152996,172.32576582180064,83658.0,0
555,21569572.935152996,14.0,79.0,0
556,21569572.935152996,53.0,80.0,0
557,44503427.53511706,108.0,150568.0,0
558,21569572.935152996,46.0,3515.0,0
559,43139145.87030599,46.0,168.0,0
560,21617612.935152996,113.0,1690.0,0
561,21569572.935152996,35.32576582180065,15.0,0
562,194886.0,103.0,93699.0,0
563,21569572.935152996,35.32576582180065,111.0,0
564,21569572.935152996,39.0,107.0,0
565,21569572.935152996,27.0,63.0,0
566,21569572.935152996,61.0,127.0,0
567,21569572.935152996,41.0,87.0,0
568,8111340.0,112.0,12934.0,0
569,21569572.935152996,35.32576582180065,111.0,0
570,43139145.87030599,70.6515316436013,234.0,0
571,21569572.935152996,41.0,2675.0,0
572,21569572.935152996,35.32576582180065,123.0,0
573,21569572.935152996,29.0,90.0,0
574,21569572.935152996,36.0,91.0,0
575,21569572.935152996,39.0,154.0,0
576,1947727.0,41.0,37439.0,0
577,43139145.87030599,50.0,180.0,0
578,50568895.935153,123.0,38052.0,0
579,125110.0,83.0,79829.0,0
580,21569572.935152996,55.0,85.0,0
581,264811.0,245.0,7896.0,0
582,21578187.935152996,100.32576582180064,37479.0,0
583,21569572.935152996,69.0,57.0,0
584,43139145.87030599,64.32576582180064,375.0,0
585,21569572.935152996,21.0,87.0,0
586,22088346.0,374.0,39674.0,0
587,83420.0,54.0,41854.0,0
588,837144.0,103.0,11846.0,0
589,760728.6648110661,44.0,340.0,0
590,21569572.935152996,35.32576582180065,15.0,0
591,65195.0,69.0,36541.0,0
592,21569572.935152996,50.0,94.0,0
593,2328457.0,232.0,43051.0,0
594,2069616.0,242.0,20215.0,0
595,21569572.935152996,34.0,63.0,0
596,4367340.0,104.0,43014.0,0
597,21569572.935152996,16.0,94.0,0
598,21569572.935152996,35.32576582180065,67.0,0
599,21569572.935152996,151.0,71.0,0
600,21569572.935152996,35.32576582180065,63.0,0
601,21569572.935152996,29.0,109.0,0
602,22460477.59996406,66.32576582180064,8871.0,0
603,21569572.935152996,35.32576582180065,15.0,0
604,21569572.935152996,22.0,115.0,0
605,21569572.935152996,27.0,67.0,0
606,43139145.87030599,94.0,126.0,0
607,103368.0,747.0,1375.0,0
608,4087.0,127.0,489.0,0
609,21569572.935152996,28.0,113.0,0
610,38419.0,79.0,13514.0,0
611,21569572.935152996,35.32576582180065,15.0,0
612,759904.6648110661,77.0,483.0,0
613,759696.6648110661,124.0,602.0,0
614,21573222.935152996,70.0,38227.0,0
615,2555427.6648110664,51.0,24694.0,0
616,43139145.87030599,70.6515316436013,133.0,0
617,22330083.59996406,57.0,14276.0,0
618,21569572.935152996,71.0,63.0,0
619,21569572.935152996,42.0,5342.0,0
